length,no_policy,seq,parallel,unseq,par_unseq,best_K,best_time,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19,K20,K21,K22,K23,K24,K25,K26,K27,K28,K29,K30,K31,K32
1000,4.5e-06,5e-07,6.04e-05,4e-07,1.72e-05,1,0.0018768,0.0018768,0.0021752,0.0024218,0.0026886,0.003378,0.003768,0.0043395,0.0047983,0.0053676,0.0059189,0.0066491,0.0071053,0.0077857,0.0084569,0.0091437,0.0099072,0.0104576,0.0109568,0.0114654,0.0118626,0.0120329,0.0126488,0.0132005,0.0138932,0.014228,0.0147071,0.0147436,0.0153548,0.0161966,0.0163295,0.0171617,0.0181867
10000,1.9e-06,1.4e-06,1.93e-05,1.4e-06,3.09e-05,1,0.0011077,0.0011077,0.0016965,0.0023036,0.002795,0.0034908,0.0038736,0.004536,0.0050239,0.0055456,0.0059411,0.006533,0.0070027,0.0071623,0.0078652,0.0084317,0.0089176,0.0097257,0.0104505,0.0109061,0.0115522,0.0121019,0.0123382,0.0128978,0.0134084,0.0141251,0.0147239,0.0153284,0.0159561,0.0163013,0.0168154,0.017517,0.0173934
100000,1.8e-06,1.3e-06,1.89e-05,1.3e-06,1.53e-05,1,0.0011206,0.0011206,0.001622,0.0022121,0.0028451,0.0032975,0.0038363,0.0045912,0.0051099,0.0054413,0.006025,0.0065832,0.0072517,0.007701,0.0085471,0.0089865,0.0095319,0.0103997,0.0113583,0.0119149,0.0118358,0.0121049,0.0122743,0.0128418,0.0133207,0.0139646,0.0147175,0.0153626,0.0159443,0.0164551,0.0170358,0.0174764,0.0180608
1000000,3.5e-06,1e-06,2.2e-05,8e-07,1.08e-05,1,0.0019459,0.0019459,0.0023864,0.002632,0.0028298,0.0034946,0.0038845,0.0043701,0.0048001,0.0053071,0.005689,0.0063684,0.0068443,0.0075233,0.008086,0.0086597,0.0093104,0.0101391,0.0107443,0.0112251,0.0118452,0.0123365,0.0126491,0.0132148,0.0135104,0.014058,0.0146524,0.0154042,0.0161875,0.0163036,0.0169639,0.01724,0.0178903
1000,4.7e-06,5e-07,8.52e-05,4e-07,1.73e-05,2,0.0020239,0.002061,0.0020239,0.0026717,0.0029154,0.0034152,0.0038173,0.00461,0.005065,0.0056233,0.0061011,0.0067008,0.0071552,0.0079422,0.0082718,0.0092168,0.0096811,0.0103269,0.0108662,0.0111699,0.0118778,0.0120367,0.0124809,0.0130922,0.0136977,0.0144087,0.0146023,0.0152579,0.0157834,0.0163267,0.0168711,0.0177189,0.01842
10000,1.9e-06,1.4e-06,1.9e-05,1.5e-06,2.79e-05,1,0.0011327,0.0011327,0.0017197,0.0023548,0.0029603,0.0035701,0.0042009,0.004576,0.0050323,0.0054169,0.0059752,0.0065489,0.0071149,0.0075673,0.0082442,0.0087516,0.0094708,0.0100041,0.0107265,0.011215,0.0118175,0.0124616,0.012995,0.0135065,0.0137969,0.0142548,0.0146979,0.015772,0.016406,0.0165923,0.0171795,0.017869,0.0184423
100000,1.4e-06,1e-06,1.92e-05,9e-07,1.92e-05,1,0.0012494,0.0012494,0.0018489,0.0023426,0.0028868,0.003536,0.0040642,0.0046087,0.0049525,0.0054268,0.0061851,0.0065138,0.0072242,0.0078733,0.0083873,0.0088787,0.0094563,0.0098873,0.0105325,0.0110858,0.0114162,0.0120585,0.0126823,0.013222,0.0138076,0.0142247,0.0148554,0.0153491,0.0161599,0.0162412,0.0165485,0.0171989,0.0181615
1000000,2.9e-06,1e-06,2.31e-05,9e-07,1.05e-05,1,0.0018563,0.0018563,0.0020721,0.0023418,0.0028722,0.0033615,0.0037916,0.0043737,0.0046668,0.0052793,0.0060036,0.0062291,0.0070702,0.0076507,0.0084212,0.0090754,0.009784,0.0103673,0.010994,0.0111774,0.0118076,0.0121953,0.0131234,0.0134616,0.0136646,0.0143957,0.0148852,0.0150252,0.0159477,0.0169422,0.01771,0.0178971,0.0182286
1000,5.5e-06,1.2e-06,7.44e-05,9e-07,1.85e-05,2,0.0018983,0.0024682,0.0018983,0.0021689,0.0027304,0.0033469,0.0035933,0.0041527,0.0047805,0.0054241,0.0057311,0.0063419,0.0068977,0.0074304,0.0080192,0.0086141,0.0093218,0.0099809,0.0102519,0.0113462,0.0120076,0.0124636,0.0130041,0.0141284,0.0161165,0.0173875,0.0187712,0.0172375,0.015903,0.0156611,0.0158165,0.0167532,0.0175506
10000,7e-07,5e-07,1.71e-05,4e-07,1.31e-05,1,0.0010693,0.0010693,0.0016668,0.0022284,0.0027857,0.0033708,0.0039543,0.0044789,0.0051649,0.0055734,0.0061958,0.0067207,0.0074723,0.0078205,0.0081767,0.0086863,0.0091788,0.0097679,0.0104778,0.0112001,0.0115457,0.0118958,0.0126075,0.0133458,0.0139489,0.014074,0.0147044,0.0150339,0.0158367,0.0164277,0.0170533,0.017622,0.0175103
100000,1.8e-06,1.4e-06,1.87e-05,1.4e-06,1.66e-05,1,0.0011105,0.0011105,0.0016407,0.0022118,0.0028062,0.0032919,0.0037129,0.0044624,0.0049933,0.0054836,0.0058003,0.0063393,0.0070165,0.0075646,0.0080828,0.0085279,0.0091809,0.0098154,0.0104038,0.0110385,0.0116622,0.0117949,0.0126535,0.0130077,0.0133141,0.0138842,0.0143369,0.0149869,0.0155683,0.0164471,0.0171061,0.0177485,0.0187247
1000000,2.1e-06,1.1e-06,2.44e-05,9e-07,1.14e-05,1,0.0018392,0.0018392,0.0021965,0.0025377,0.0030513,0.0034842,0.0037956,0.0042737,0.0048213,0.0053134,0.0058341,0.0063099,0.0070257,0.0075149,0.0082427,0.0085348,0.0092586,0.0098126,0.0102198,0.0108964,0.0115911,0.0116988,0.0123427,0.0128242,0.0136522,0.0139051,0.0146869,0.0152829,0.0163188,0.016528,0.0174779,0.0177155,0.0178577
1000,6e-06,1.8e-06,6.24e-05,1.8e-06,1.95e-05,1,0.001876,0.001876,0.001966,0.0026029,0.0031212,0.0036872,0.0041614,0.0047107,0.0051503,0.0058075,0.0062545,0.0068292,0.0074785,0.0080023,0.0085894,0.009249,0.0098916,0.0105994,0.0109835,0.0112064,0.0118862,0.0120913,0.0126804,0.0132238,0.0138712,0.0145545,0.0153162,0.0158046,0.0162732,0.0166627,0.017712,0.0181157,0.0186742
10000,1.3e-06,1e-06,1.89e-05,9e-07,2.19e-05,1,0.0012025,0.0012025,0.0018927,0.0024201,0.0030964,0.0037245,0.004187,0.0046676,0.0049981,0.0056178,0.0061086,0.0066122,0.0070685,0.0078401,0.008306,0.0091009,0.0095425,0.0102033,0.0108698,0.0112275,0.0116965,0.0127804,0.0134271,0.0137931,0.0141902,0.0149879,0.0151185,0.0157317,0.0156693,0.0162159,0.0169236,0.0175438,0.0182917
