length,no_policy,seq,parallel,unseq,par_unseq,best_K,best_time,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19,K20,K21,K22,K23,K24,K25,K26,K27,K28,K29,K30,K31,K32
100000,0.0344561,0.0348128,0.0052799,0.0323233,0.0047652,7,0.0105052,0.0440344,0.0249445,0.0191069,0.0150794,0.0126978,0.0109607,0.0105052,0.0105181,0.0143512,0.0139644,0.0136295,0.0134346,0.0129614,0.0132175,0.0128565,0.0133351,0.0136239,0.0139199,0.014524,0.0149431,0.0152874,0.0158878,0.0164312,0.0169535,0.0171816,0.0181217,0.0187435,0.0190565,0.0197414,0.0203065,0.0207758,0.0207731
1000000,0.335704,0.3282916,0.0391781,0.3145675,0.0373743,16,0.0698455,0.3649806,0.1914208,0.1313001,0.1092202,0.0938484,0.0853612,0.0766314,0.071934,0.087185,0.0835009,0.081426,0.0823032,0.0756232,0.0713979,0.0709482,0.0698455,0.0728584,0.0721579,0.0745616,0.0760084,0.0770378,0.0768887,0.0766104,0.0762451,0.076028,0.0736734,0.0770577,0.0743743,0.0743511,0.0747582,0.0735863,0.0752133
1000,0.000445,0.0004276,0.0005643,0.0004652,0.0004682,2,0.001923,0.0022373,0.001923,0.0026113,0.0030991,0.0034585,0.0038969,0.0043413,0.0048134,0.0049495,0.0055748,0.0062926,0.0068775,0.0083939,0.0103346,0.0117726,0.0130255,0.0141191,0.0135436,0.0134923,0.0137824,0.0137038,0.0143307,0.0147667,0.0154027,0.0162107,0.017106,0.0175414,0.0177035,0.017624,0.0173739,0.0180806,0.0188994
10000,0.0042111,0.0042651,0.0016789,0.0044315,0.0015991,4,0.0048152,0.0071753,0.0051192,0.0048321,0.0048152,0.0084439,0.0052614,0.0057618,0.0063595,0.0068089,0.0073621,0.0078614,0.0075899,0.0078832,0.0079778,0.0085566,0.0090641,0.0106056,0.0116357,0.0116409,0.0120284,0.0123713,0.0128158,0.0134494,0.0139568,0.0145487,0.0155425,0.0162255,0.0172077,0.0177146,0.0180421,0.0189487,0.0193513
100000,0.036422,0.0374204,0.0053759,0.0315477,0.0046866,8,0.0107597,0.0397629,0.0246496,0.0197891,0.0152141,0.0121196,0.0108039,0.0109082,0.0107597,0.014013,0.0135909,0.013696,0.0129534,0.0126778,0.0130504,0.0129847,0.0131886,0.0139455,0.0140916,0.0147366,0.0148638,0.0155967,0.0162653,0.0170081,0.0171527,0.0176788,0.0185538,0.0186594,0.0192486,0.0193464,0.0199712,0.0204287,0.0213204
1000000,0.3185696,0.312045,0.0368984,0.31606,0.0389855,15,0.0697832,0.364799,0.1898686,0.1333866,0.1105108,0.0958426,0.0825683,0.0756547,0.0744113,0.0847991,0.0823689,0.0781553,0.0761369,0.0730049,0.0725428,0.0697832,0.0700399,0.0728092,0.0712515,0.0714723,0.0767833,0.075823,0.0760691,0.0790478,0.0766694,0.0763491,0.0751217,0.0750948,0.0763444,0.0752181,0.0734462,0.0745919,0.0747787
1000,0.0004547,0.0004432,0.0005909,0.0004392,0.0004666,2,0.0020851,0.0024325,0.0020851,0.0025926,0.0030577,0.0033765,0.0038031,0.004488,0.0047535,0.0052271,0.0058893,0.0062203,0.0069536,0.0074841,0.0079377,0.0086949,0.0094339,0.0100028,0.0106905,0.011105,0.0119469,0.012201,0.0124896,0.0132218,0.0134699,0.0140071,0.014831,0.0152119,0.0152325,0.016002,0.0169178,0.0174472,0.0178842
10000,0.0039015,0.003789,0.0014707,0.0038368,0.0013432,4,0.0034265,0.0063466,0.0043042,0.0039772,0.0034265,0.0034969,0.0037719,0.0044807,0.0049671,0.0053021,0.0061734,0.0065888,0.0071561,0.0083001,0.0091412,0.0099653,0.010374,0.0108426,0.0111713,0.011494,0.0118046,0.0121329,0.0124852,0.0131947,0.0139495,0.0145235,0.0149697,0.0157845,0.0161842,0.0164547,0.0174655,0.0184363,0.018817
100000,0.033361,0.0312326,0.0045991,0.031946,0.0049523,7,0.0096544,0.0399087,0.0246109,0.0189134,0.0153007,0.0129336,0.0114503,0.0096544,0.0101443,0.0128077,0.0138958,0.0139612,0.0134053,0.0128657,0.0131867,0.0132945,0.0132722,0.0140984,0.01482,0.0163572,0.017394,0.0187803,0.0175655,0.0172451,0.0180504,0.0179672,0.0178847,0.0189493,0.0190069,0.0200428,0.0204379,0.0211662,0.0213117
1000000,0.1628378,0.1581875,0.0196664,0.1639028,0.0202454,16,0.0687112,0.1884948,0.1800831,0.128272,0.1076903,0.0894525,0.0809,0.0758672,0.0720286,0.0953534,0.0881352,0.0767936,0.0755535,0.0738863,0.0702754,0.0691625,0.0687112,0.0732891,0.0713378,0.0728128,0.0727813,0.0767655,0.0760079,0.0752157,0.0760903,0.0744939,0.0729713,0.0733693,0.0740655,0.0730354,0.0750195,0.0727798,0.0744159
1000,0.0004557,0.0004438,0.0005479,0.0004484,0.000461,2,0.0020646,0.0024235,0.0020646,0.0026412,0.0031571,0.0035745,0.0040832,0.0043004,0.0048775,0.0054609,0.005778,0.0062625,0.0069008,0.007278,0.0080632,0.0090593,0.0093971,0.0100359,0.010893,0.0115047,0.0119953,0.0125546,0.012803,0.0132291,0.0137074,0.0141363,0.0149031,0.0150843,0.0159475,0.0164437,0.0168812,0.0175322,0.0181848
10000,0.0038852,0.0036183,0.0014551,0.0037487,0.0014895,4,0.0033201,0.0070711,0.0050566,0.0042347,0.0033201,0.0034666,0.003794,0.0044921,0.004908,0.005867,0.0063861,0.0072518,0.0079682,0.0091058,0.009678,0.0107622,0.0114478,0.0116609,0.0122377,0.0125459,0.0131489,0.0133974,0.013502,0.0142828,0.0148156,0.0152231,0.0160045,0.0167145,0.0175193,0.0189896,0.0189696,0.0196685,0.0199981
100000,0.0335522,0.0323215,0.0054052,0.034074,0.0052847,7,0.0105338,0.0411002,0.0248546,0.0191051,0.0156575,0.0132313,0.0116186,0.0105338,0.0109819,0.0143783,0.0141675,0.0143975,0.0138241,0.0128118,0.0127649,0.0135899,0.0133787,0.0143958,0.0145521,0.015196,0.0152632,0.0155026,0.0165381,0.0169813,0.016746,0.0172559,0.0180642,0.0185066,0.0181996,0.019148,0.0203461,0.0209826,0.0217946
1000000,0.3801174,0.3642482,0.0433101,0.3230532,0.0405494,16,0.0701978,0.3702708,0.1862953,0.1339058,0.1107389,0.0929887,0.0848963,0.07937,0.0760669,0.0857375,0.0817311,0.0794933,0.0757629,0.0728783,0.0721137,0.0715083,0.0701978,0.0716456,0.072477,0.0748759,0.0747924,0.0772793,0.0794853,0.0806567,0.0766688,0.0771821,0.0744776,0.0755145,0.0750533,0.0767253,0.0749692,0.0743543,0.0773748
1000,0.0004289,0.0004144,0.0005819,0.0004842,0.0005464,2,0.0020511,0.0023635,0.0020511,0.0026776,0.0032244,0.0036483,0.0037954,0.0043425,0.0048284,0.0051383,0.0057421,0.0061827,0.0068409,0.0071667,0.007986,0.008608,0.0092231,0.0099761,0.0105879,0.011486,0.0124062,0.0122376,0.0125587,0.0127886,0.0133658,0.0136494,0.014166,0.0146881,0.015154,0.0159221,0.017039,0.0174361,0.0175007
